department_id,short_name,name,university,country,url,openalex_institution_id,ror_id,acsp_member,active
80,University of Iowa,University of Iowa,University of Iowa,US,http://urban.uiowa.edu/,,,,1
81,University of Kansas,University of Kansas,University of Kansas,US,http://urbanplanning.ku.edu/,,,,1
82,University of Louisville,University of Louisville,University of Louisville,US,http://supa.louisville.edu/,,,,1
83,University of Manitoba,University of Manitoba,University of Manitoba,CA,http://umanitoba.ca/faculties/architecture/programs/cityplanning/index.html,,,,1
84,University of Maryland,University of Maryland,University of Maryland,US,http://arch.umd.edu/ursp/urban-studies-and-planning,,,,1
85,University of Massachusetts-Amherst,University of Massachusetts-Amherst,University of Massachusetts-Amherst,US,http://umass.edu/larp/home,,,,1
86,University of Massachusetts-Boston,University of Massachusetts-Boston,University of Massachusetts-Boston,US,https://environment.umb.edu/graduate-programs/urban-planning-and-community-development-ms,,,,1
87,University of Memphis,University of Memphis,University of Memphis,US,http://memphis.edu/planning/,,,,1
88,University of Michigan,University of Michigan,University of Michigan,US,http://taubmancollege.umich.edu/urbanplanning,,,,1
89,University of Minnesota,University of Minnesota,University of Minnesota,US,http://hhh.umn.edu/masters-degrees/master-urban-and-regional-planning,,,,1
90,University of Missouri-Kansas City,University of Missouri-Kansas City,University of Missouri-Kansas City,US,http://info.umkc.edu/aupd/academic-programs/urban-planning-design/,,,,1
91,University of Nebraska,University of Nebraska,University of Nebraska,US,http://architecture.unl.edu/degree-programs/community-and-regional-planning,,,,1
92,University of New Mexico,University of New Mexico,University of New Mexico,US,https://crp.unm.edu/index.html,,,,1
93,University of New Orleans,University of New Orleans,University of New Orleans,US,https://www.uno.edu/academics/colaehd/la/planning-and-urban-studies,,,,1
94,University of Northern British Columbia,University of Northern British Columbia,University of Northern British Columbia,CA,https://www2.unbc.ca/environmental-planning,,,,1
95,University of Oklahoma,University of Oklahoma,University of Oklahoma,US,https://architecture.ou.edu/regional-city-planning/,,,,1
96,University of Oregon,University of Oregon,University of Oregon,US,http://pppm.uoregon.edu/,,,,1
97,University of Pennsylvania,University of Pennsylvania,University of Pennsylvania,US,https://www.design.upenn.edu/city-regional-planning/graduate/work,,,,1
98,University of Puerto Rico,University of Puerto Rico,University of Puerto Rico,US,http://planificacion.uprrp.edu/,,,,1
99,University of Quebec in Montreal,University of Quebec in Montreal,University of Quebec in Montreal,CA,https://etudier.uqam.ca/programme/maitrise-etudes-urbaines,,,,1
