person_id,source,collected_at,total_citations,h_index,i10_index,citations_5yr,h_index_5yr,works_count,raw_json
48,pop,2026-09-13,470,11,,,,,"{""workbook_row"": {""Name"": ""Cornelius Nuworsoo"", ""Year"": 2004, ""Cites2017"": 470, ""%Cites2017"": 0.336, ""%Rank"": 0.155, ""H-Index"": 11, ""%RankH"": 0.374, ""CurrentSchool"": ""Cal Poly, San Luis Obispo"", ""Position"": ""Professor"", ""PhDYear"": 2004, ""PhDSchool"": ""UC Berkeley"", ""Years"": 21, ""CY2017"": 22.38095238095238, ""First"": ""Cornelius"", ""Last"": ""Nuworsoo"", ""Interests"": ""Transportation Engineering, Transportation and Land Use Planning, Quantitative Methods in Planning"", ""ResearchGate"": ""https://researchgate.net/profile/Cornelius_Nuworsoo""}}"
49,pop,2026-09-13,1,1,,,,,"{""workbook_row"": {""Name"": ""Ryan Sandwick"", ""Year"": 2013, ""Cites2017"": 1, ""%Cites2017"": 0, ""%Rank"": 0, ""H-Index"": 1, ""%RankH"": 0, ""CurrentSchool"": ""Cal Poly, San Luis Obispo"", ""Position"": ""Assistant Professor"", ""PhDYear"": 2013, ""PhDSchool"": ""University of Glasgow"", ""Years"": 12, ""CY2017"": 0.08333333333333333, ""First"": ""Ryan"", ""Last"": ""Sandwick""}}"
51,pop,2026-09-13,1,1,,,,,"{""workbook_row"": {""Name"": ""Miriam Giottonini-Badilla"", ""Year"": 2018, ""Cites2017"": 1, ""%Cites2017"": 0, ""%Rank"": 0, ""H-Index"": 1, ""%RankH"": 0, ""CurrentSchool"": ""California State University, Northridge"", ""Position"": ""Associate Professor"", ""PhDYear"": 2018, ""PhDSchool"": ""UCLA"", ""Years"": 7, ""CY2017"": 0.14285714285714285, ""First"": ""Miriam"", ""Last"": ""Giottonini-Badilla""}}"
53,pop,2026-09-13,28,4,,,,,"{""workbook_row"": {""Name"": ""Craig Olwert"", ""Year"": 2010, ""Cites2017"": 28, ""%Cites2017"": 0.051, ""%Rank"": 0.007, ""H-Index"": 4, ""%RankH"": 0.09, ""CurrentSchool"": ""California State University, Northridge"", ""Position"": ""Professor"", ""PhDYear"": 2010, ""PhDSchool"": ""Ohio State University"", ""Years"": 15, ""CY2017"": 1.8666666666666667, ""First"": ""Craig"", ""Last"": ""Olwert"", ""Interests"": ""Urban Economics, Sustainability, Environmental Planning, City Form, GIS, Quantitative Methods"", ""LinkedIn"": ""https://linkedin.com/in/craig-olwert-84357b6""}}"
54,pop,2026-09-13,407,6,,,,,"{""workbook_row"": {""Name"": ""Ward Thomas"", ""Year"": 1997, ""Cites2017"": 407, ""%Cites2017"": 0.304, ""%Rank"": 0.143, ""H-Index"": 6, ""%RankH"": 0.173, ""CurrentSchool"": ""California State University, Northridge"", ""Position"": ""Professor"", ""PhDYear"": 1997, ""PhDSchool"": ""UCLA"", ""Years"": 28, ""CY2017"": 14.535714285714286, ""First"": ""Ward"", ""Last"": ""Thomas"", ""Interests"": ""Economic Development, Public Policy Analysis, Environmental Planning""}}"
55,pop,2026-09-13,465,10,,,,,"{""workbook_row"": {""Name"": ""Zeynep Toker"", ""Year"": 2004, ""Cites2017"": 465, ""%Cites2017"": 0.331, ""%Rank"": 0.15, ""H-Index"": 10, ""%RankH"": 0.335, ""CurrentSchool"": ""California State University, Northridge"", ""Position"": ""Professor"", ""PhDYear"": 2004, ""PhDSchool"": ""North Carolina State University"", ""Years"": 21, ""CY2017"": 22.142857142857142, ""First"": ""Zeynep"", ""Last"": ""Toker"", ""Interests"": ""Community Participation, Research Based Urban Design, Housing and Gender in Planning, Research Methods"", ""ResearchGate"": ""https://researchgate.net/profile/Zeynep_Aytug3""}}"
60,pop,2026-09-13,323,9,,,,,"{""workbook_row"": {""Name"": ""Roland Anglin"", ""Year"": 1991, ""Cites2017"": 323, ""%Cites2017"": 0.268, ""%Rank"": 0.123, ""H-Index"": 9, ""%RankH"": 0.292, ""CurrentSchool"": ""Cleveland State University"", ""Position"": ""Professor"", ""PhDYear"": 1991, ""PhDSchool"": ""University of Chicago"", ""Years"": 34, ""CY2017"": 9.5, ""First"": ""Roland"", ""Last"": ""Anglin""}}"
66,pop,2026-09-13,175,4,,,,,"{""workbook_row"": {""Name"": ""Hugo Sarmiento"", ""Year"": 2023, ""Cites2017"": 175, ""%Cites2017"": 0.188, ""%Rank"": 0.382, ""H-Index"": 4, ""%RankH"": 0.09, ""CurrentSchool"": ""Columbia University"", ""Position"": ""Assistant Professor"", ""PhDYear"": 2023, ""PhDSchool"": ""UCLA"", ""Years"": 2, ""CY2017"": 87.5, ""First"": ""Hugo"", ""Last"": ""Sarmiento""}}"
72,pop,2026-09-13,925,11,,,,,"{""workbook_row"": {""Name"": ""Nancy Brooks"", ""Year"": 1995, ""Cites2017"": 925, ""%Cites2017"": 0.49, ""%Rank"": 0.524, ""H-Index"": 11, ""%RankH"": 0.374, ""CurrentSchool"": ""Cornell University"", ""Position"": ""Associate Professor"", ""PhDYear"": 1995, ""PhDSchool"": ""University of Pennsylvania"", ""Years"": 30, ""CY2017"": 30.833333333333332, ""First"": ""Nancy"", ""Last"": ""Brooks""}}"
76,pop,2026-09-13,95,6,,,,,"{""workbook_row"": {""Name"": ""Jeffrey Chusid"", ""Year"": 1982, ""Cites2017"": 95, ""%Cites2017"": 0.113, ""%Rank"": 0.109, ""H-Index"": 6, ""%RankH"": 0.173, ""CurrentSchool"": ""Cornell University"", ""Position"": ""Associate Professor"", ""PhDYear"": 1982, ""PhDSchool"": ""UC Berkeley"", ""Years"": 43, ""CY2017"": 2.2093023255813953, ""First"": ""Jeffrey"", ""Last"": ""Chusid"", ""Interests"": ""Historic Preservation Design & Planning, Architecture, Cultural Landscapes"", ""LinkedIn"": ""https://linkedin.com/in/jeffrey-chusid-466bb0ba""}}"
