person_id,source,collected_at,total_citations,h_index,i10_index,citations_5yr,h_index_5yr,works_count,raw_json
188,google_scholar,2026-09-16,482,7,7,234,7,,"{""scholar_id"": ""Dx43lFkAAAAJ"", ""name"": ""Marcia England"", ""affiliation"": ""Unknown affiliation"", ""email_domain"": ""@miamioh.edu"", ""interests"": [], ""homepage"": null, ""citedby"": 482, ""citedby5y"": 234, ""hindex"": 7, ""hindex5y"": 7, ""i10index"": 7, ""i10index5y"": 5, ""cites_per_year"": {""2007"": 2, ""2008"": 4, ""2009"": 3, ""2010"": 13, ""2011"": 11, ""2012"": 15, ""2013"": 19, ""2014"": 21, ""2015"": 16, ""2016"": 18, ""2017"": 25, ""2018"": 28, ""2019"": 25, ""2020"": 34, ""2021"": 59, ""2022"": 37, ""2023"": 26, ""2024"": 47, ""2025"": 37, ""2026"": 28}}"
215,google_scholar,2026-09-16,78,2,1,63,1,,"{""scholar_id"": ""JOBwoIsAAAAJ"", ""name"": ""Karilyn Crockett"", ""affiliation"": ""Professor or urban history, public policy & planning"", ""email_domain"": ""@mit.edu"", ""interests"": [""urban history"", ""memory"", ""spatial justice"", ""multiracial democratic practice""], ""homepage"": ""https://dusp.mit.edu/people/karilyn-crockett"", ""citedby"": 78, ""citedby5y"": 63, ""hindex"": 2, ""hindex5y"": 1, ""i10index"": 1, ""i10index5y"": 1, ""cites_per_year"": {""2013"": 1, ""2018"": 2, ""2019"": 3, ""2020"": 7, ""2021"": 11, ""2022"": 8, ""2023"": 13, ""2024"": 9, ""2025"": 14, ""2026"": 8}}"
264,google_scholar,2026-09-16,9,2,0,7,2,,"{""scholar_id"": ""jIaRVqYAAAAJ"", ""name"": ""Kaitlyn Alvarez Noli"", ""affiliation"": ""Professor of Public Policy and Health Sciences, Northeastern Unviersity"", ""email_domain"": ""@northeastern.edu"", ""interests"": [""farmworker health"", ""pesticide regulation"", ""occupational health policy"", ""regulatory enforcement""], ""homepage"": ""https://cssh.northeastern.edu/faculty/kaitlyn-alvarez-noli/"", ""citedby"": 9, ""citedby5y"": 7, ""hindex"": 2, ""hindex5y"": 2, ""i10index"": 0, ""i10index5y"": 0, ""cites_per_year"": {""2019"": 1, ""2020"": 1, ""2023"": 1, ""2025"": 5, ""2026"": 1}}"
