person_id,source,collected_at,total_citations,h_index,i10_index,citations_5yr,h_index_5yr,works_count,raw_json
1,google_scholar,2026-09-14,160,6,5,102,5,,"{""name"": ""Florina Dutt"", ""affiliation"": ""Alabama A & M University, Georgia Institute of Technology, University of Pennsylvania,"", ""email_domain"": ""@aamu.edu"", ""interests"": [""Urban Informatics"", ""Urban Planning"", ""Urban Design"", ""Design Computation""], ""homepage"": null, ""citedby"": 160, ""citedby5y"": 102, ""hindex"": 6, ""hindex5y"": 5, ""i10index"": 5, ""i10index5y"": 4, ""cites_per_year"": {""2013"": 1, ""2014"": 2, ""2015"": 0, ""2016"": 1, ""2017"": 1, ""2018"": 9, ""2019"": 21, ""2020"": 19, ""2021"": 16, ""2022"": 17, ""2023"": 22, ""2024"": 24, ""2025"": 18, ""2026"": 4}}"
2,google_scholar,2026-09-14,4598,21,24,1798,16,,"{""name"": ""Himanshu Grover"", ""affiliation"": ""Associate Professor, Alabama A&M University"", ""email_domain"": ""@aamu.edu"", ""interests"": [""Urban Planning"", ""Community resilience"", ""disasters"", ""GIS"", ""climate change""], ""homepage"": ""http://himanshugrover.com/home"", ""citedby"": 4598, ""citedby5y"": 1798, ""hindex"": 21, ""hindex5y"": 16, ""i10index"": 24, ""i10index5y"": 18, ""cites_per_year"": {""2008"": 27, ""2009"": 72, ""2010"": 96, ""2011"": 124, ""2012"": 182, ""2013"": 185, ""2014"": 243, ""2015"": 261, ""2016"": 283, ""2017"": 297, ""2018"": 332, ""2019"": 325, ""2020"": 311, ""2021"": 333, ""2022"": 362, ""2023"": 296, ""2024"": 278, ""2025"": 323, ""2026"": 204}}"
3,google_scholar,2026-09-14,2453,11,12,729,8,,"{""name"": ""JACOB OLUWOYE"", ""affiliation"": ""Professor of transportation, Alabama A&M UNIVERSITY"", ""email_domain"": ""@aamu.edu"", ""interests"": [""Transportation and Environmental Health""], ""homepage"": null, ""citedby"": 2453, ""citedby5y"": 729, ""hindex"": 11, ""hindex5y"": 8, ""i10index"": 12, ""i10index5y"": 6, ""cites_per_year"": {""1999"": 7, ""2000"": 14, ""2001"": 16, ""2002"": 8, ""2003"": 10, ""2004"": 19, ""2005"": 15, ""2006"": 29, ""2007"": 31, ""2008"": 33, ""2009"": 34, ""2010"": 59, ""2011"": 70, ""2012"": 73, ""2013"": 84, ""2014"": 132, ""2015"": 163, ""2016"": 160, ""2017"": 202, ""2018"": 192, ""2019"": 160, ""2020"": 151, ""2021"": 163, ""2022"": 147, ""2023"": 116, ""2024"": 131, ""2025"": 107, ""2026"": 65}}"
4,google_scholar,2026-09-14,407,8,7,224,6,,"{""name"": ""Ahmed Ouf"", ""affiliation"": ""professor of urban design, cairo university"", ""email_domain"": ""@urban-edge.net"", ""interests"": [""urban design"", ""architecture"", ""heritage""], ""homepage"": ""http://www.urban-edge.net/"", ""citedby"": 407, ""citedby5y"": 224, ""hindex"": 8, ""hindex5y"": 6, ""i10index"": 7, ""i10index5y"": 5, ""cites_per_year"": {""2001"": 6, ""2002"": 1, ""2003"": 2, ""2004"": 0, ""2005"": 4, ""2006"": 3, ""2007"": 3, ""2008"": 7, ""2009"": 4, ""2010"": 5, ""2011"": 8, ""2012"": 8, ""2013"": 13, ""2014"": 15, ""2015"": 20, ""2016"": 17, ""2017"": 15, ""2018"": 22, ""2019"": 12, ""2020"": 11, ""2021"": 16, ""2022"": 22, ""2023"": 39, ""2024"": 48, ""2025"": 63, ""2026"": 35}}"
6,google_scholar,2026-09-14,339,5,3,48,3,,"{""name"": ""Jordan S. Yin"", ""affiliation"": ""Alabama A&M University, Department of Community and Regional Planning"", ""email_domain"": ""@aamu.edu"", ""interests"": [""Urban Planning"", ""Community Development"", ""Cities""], ""homepage"": ""http://www.ask-a-planner.com/"", ""citedby"": 339, ""citedby5y"": 48, ""hindex"": 5, ""hindex5y"": 3, ""i10index"": 3, ""i10index5y"": 2, ""cites_per_year"": {""1997"": 3, ""1998"": 11, ""1999"": 12, ""2000"": 13, ""2001"": 19, ""2002"": 5, ""2003"": 19, ""2004"": 14, ""2005"": 9, ""2006"": 9, ""2007"": 14, ""2008"": 12, ""2009"": 15, ""2010"": 5, ""2011"": 11, ""2012"": 11, ""2013"": 12, ""2014"": 13, ""2015"": 11, ""2016"": 7, ""2017"": 11, ""2018"": 15, ""2019"": 9, ""2020"": 17, ""2021"": 15, ""2022"": 10, ""2023"": 8, ""2024"": 5, ""2025"": 6, ""2026"": 4}}"
9,google_scholar,2026-09-14,850,13,13,676,12,,"{""name"": ""Bhuwan Thapa"", ""affiliation"": ""University of North Carolina at Greensboro"", ""email_domain"": ""@uncg.edu"", ""interests"": [""nature-based solutions"", ""climate change adaptation"", ""urban resilience"", ""geospatial"", ""food system""], ""homepage"": ""https://www.uncg.edu/employees/bhuwan-thapa/"", ""citedby"": 850, ""citedby5y"": 676, ""hindex"": 13, ""hindex5y"": 12, ""i10index"": 13, ""i10index5y"": 12, ""cites_per_year"": {""2016"": 7, ""2017"": 16, ""2018"": 33, ""2019"": 48, ""2020"": 45, ""2021"": 79, ""2022"": 85, ""2023"": 73, ""2024"": 119, ""2025"": 189, ""2026"": 128}}"
10,google_scholar,2026-09-14,2610,21,31,2070,18,,"{""name"": ""Maura Allaire"", ""affiliation"": ""Associate Professor, University of California, Irvine"", ""email_domain"": ""@uci.edu"", ""interests"": [""Water governance"", ""environmental policy"", ""drinking water quality"", ""flood risk management""], ""homepage"": ""http://faculty.sites.uci.edu/allaire/"", ""citedby"": 2610, ""citedby5y"": 2070, ""hindex"": 21, ""hindex5y"": 18, ""i10index"": 31, ""i10index5y"": 25, ""cites_per_year"": {""2013"": 18, ""2014"": 15, ""2015"": 14, ""2016"": 19, ""2017"": 31, ""2018"": 69, ""2019"": 124, ""2020"": 201, ""2021"": 265, ""2022"": 305, ""2023"": 310, ""2024"": 387, ""2025"": 448, ""2026"": 353}}"
11,google_scholar,2026-09-14,5243,37,79,1947,23,,"{""name"": ""Sharmistha Bagchi-Sen"", ""affiliation"": ""SUNY-Buffalo"", ""email_domain"": ""@buffalo.edu"", ""interests"": [""geography"", ""innovation"", ""biotechnology"", ""renewable energy""], ""homepage"": ""http://www.geog.buffalo.edu/~geosbs"", ""citedby"": 5243, ""citedby5y"": 1947, ""hindex"": 37, ""hindex5y"": 23, ""i10index"": 79, ""i10index5y"": 41, ""cites_per_year"": {""1997"": 17, ""1998"": 15, ""1999"": 16, ""2000"": 14, ""2001"": 40, ""2002"": 33, ""2003"": 47, ""2004"": 53, ""2005"": 47, ""2006"": 88, ""2007"": 83, ""2008"": 124, ""2009"": 117, ""2010"": 96, ""2011"": 140, ""2012"": 154, ""2013"": 181, ""2014"": 175, ""2015"": 239, ""2016"": 266, ""2017"": 247, ""2018"": 291, ""2019"": 337, ""2020"": 337, ""2021"": 369, ""2022"": 363, ""2023"": 338, ""2024"": 336, ""2025"": 317, ""2026"": 223}}"
12,google_scholar,2026-09-14,1312,21,29,1218,21,,"{""name"": ""Dylan Connor"", ""affiliation"": ""Arizona State University"", ""email_domain"": ""@asu.edu"", ""interests"": [""Computational Social Science"", ""GIS"", ""Economic Geography/History"", ""Inequality"", ""Demography""], ""homepage"": ""https://profconnor.github.io/"", ""citedby"": 1312, ""citedby5y"": 1218, ""hindex"": 21, ""hindex5y"": 21, ""i10index"": 29, ""i10index5y"": 27, ""cites_per_year"": {""2016"": 5, ""2017"": 12, ""2018"": 13, ""2019"": 16, ""2020"": 34, ""2021"": 94, ""2022"": 134, ""2023"": 130, ""2024"": 238, ""2025"": 320, ""2026"": 294}}"
13,google_scholar,2026-09-14,1087,17,19,892,17,,"{""name"": ""Meagan M. Ehlenz"", ""affiliation"": ""Associate Professor, School of Geographical Sciences & Urban Planning, Arizona State University"", ""email_domain"": ""@asu.edu"", ""interests"": [""Urban Planning"", ""Anchor Institutions"", ""University Anchors"", ""Shared Equity Homeownership""], ""homepage"": null, ""citedby"": 1087, ""citedby5y"": 892, ""hindex"": 17, ""hindex5y"": 17, ""i10index"": 19, ""i10index5y"": 18, ""cites_per_year"": {""2015"": 7, ""2016"": 6, ""2017"": 10, ""2018"": 28, ""2019"": 43, ""2020"": 94, ""2021"": 117, ""2022"": 137, ""2023"": 162, ""2024"": 175, ""2025"": 171, ""2026"": 128}}"
