person_id,source,collected_at,total_citations,h_index,i10_index,citations_5yr,h_index_5yr,works_count,raw_json
117,google_scholar,2026-09-23,458,12,12,456,12,,"{""scholar_id"": ""w5CaZhQAAAAJ"", ""name"": ""Mehak Sachdeva"", ""affiliation"": ""Florida State University"", ""email_domain"": ""@fsu.edu"", ""interests"": [""Urban Analytics"", ""Spatial statistics"", ""GIScience"", ""Local modeling"", ""Urban Analytics""], ""homepage"": ""http://www.mehaksachdeva.com/"", ""citedby"": 458, ""citedby5y"": 456, ""hindex"": 12, ""hindex5y"": 12, ""i10index"": 12, ""i10index5y"": 12, ""cites_per_year"": {""2021"": 5, ""2022"": 30, ""2023"": 60, ""2024"": 99, ""2025"": 136, ""2026"": 117}}"
691,google_scholar,2026-09-23,2430,21,27,1352,15,,"{""scholar_id"": ""ZALqEvMAAAAJ"", ""name"": ""Jerry Anthony"", ""affiliation"": ""University of Iowa"", ""email_domain"": ""@uiowa.edu"", ""interests"": [""Housing Policy"", ""Land Use"", ""Urban Sustainability"", ""International Development Issues""], ""homepage"": null, ""citedby"": 2430, ""citedby5y"": 1352, ""hindex"": 21, ""hindex5y"": 15, ""i10index"": 27, ""i10index5y"": 20, ""cites_per_year"": {""2004"": 7, ""2005"": 19, ""2006"": 15, ""2007"": 32, ""2008"": 32, ""2009"": 29, ""2010"": 28, ""2011"": 24, ""2012"": 32, ""2013"": 38, ""2014"": 25, ""2015"": 48, ""2016"": 35, ""2017"": 76, ""2018"": 124, ""2019"": 188, ""2020"": 273, ""2021"": 229, ""2022"": 291, ""2023"": 231, ""2024"": 208, ""2025"": 212, ""2026"": 181}}"
730,google_scholar,2026-09-23,149,5,5,55,5,,"{""scholar_id"": ""Zmf0sXkAAAAJ"", ""name"": ""Michelle Magalong"", ""affiliation"": ""Assistant Professor of Historic Preservation, University of Maryland"", ""email_domain"": ""@umd.edu"", ""interests"": [], ""homepage"": null, ""citedby"": 149, ""citedby5y"": 55, ""hindex"": 5, ""hindex5y"": 5, ""i10index"": 5, ""i10index5y"": 2, ""cites_per_year"": {""2007"": 2, ""2008"": 4, ""2009"": 8, ""2010"": 6, ""2011"": 11, ""2012"": 4, ""2013"": 11, ""2014"": 7, ""2015"": 4, ""2016"": 10, ""2017"": 11, ""2018"": 3, ""2019"": 7, ""2020"": 3, ""2021"": 8, ""2022"": 14, ""2023"": 9, ""2024"": 11, ""2025"": 8, ""2026"": 5}}"
812,google_scholar,2026-09-23,22,3,0,22,3,,"{""scholar_id"": ""uM3f0eAAAAAJ"", ""name"": ""Jordy Coutin"", ""affiliation"": ""University of Oregon"", ""email_domain"": ""@uoregon.edu"", ""interests"": [], ""homepage"": null, ""citedby"": 22, ""citedby5y"": 22, ""hindex"": 3, ""hindex5y"": 3, ""i10index"": 0, ""i10index5y"": 0, ""cites_per_year"": {""2023"": 1, ""2024"": 4, ""2025"": 9, ""2026"": 8}}"
905,google_scholar,2026-09-23,708,10,10,317,9,,"{""scholar_id"": ""1yOmQkoAAAAJ"", ""name"": ""M. Beth Schlemper"", ""affiliation"": ""University of Toledo"", ""email_domain"": ""@utoledo.edu"", ""interests"": [""geography education"", ""historical/cultural geography""], ""homepage"": null, ""citedby"": 708, ""citedby5y"": 317, ""hindex"": 10, ""hindex5y"": 9, ""i10index"": 10, ""i10index5y"": 8, ""cites_per_year"": {""2008"": 2, ""2009"": 8, ""2010"": 10, ""2011"": 24, ""2012"": 32, ""2013"": 33, ""2014"": 30, ""2015"": 54, ""2016"": 45, ""2017"": 20, ""2018"": 25, ""2019"": 54, ""2020"": 39, ""2021"": 44, ""2022"": 52, ""2023"": 63, ""2024"": 60, ""2025"": 52, ""2026"": 44}}"
913,google_scholar,2026-09-23,1130,16,21,994,16,,"{""scholar_id"": ""ON5KEFQAAAAJ"", ""name"": ""Timothy Ross"", ""affiliation"": ""University of Toronto"", ""email_domain"": ""@mail.utoronto.ca"", ""interests"": [""disability studies"", ""planning"", ""inclusive play"", ""school transportation"", ""childhood disability""], ""homepage"": null, ""citedby"": 1130, ""citedby5y"": 994, ""hindex"": 16, ""hindex5y"": 16, ""i10index"": 21, ""i10index5y"": 19, ""cites_per_year"": {""2017"": 4, ""2018"": 14, ""2019"": 32, ""2020"": 75, ""2021"": 80, ""2022"": 84, ""2023"": 142, ""2024"": 199, ""2025"": 229, ""2026"": 257}}"
918,google_scholar,2026-09-23,1814,19,29,1096,17,,"{""scholar_id"": ""olIYV_QAAAAJ"", ""name"": ""Arnab Chakraborty"", ""affiliation"": ""Dean and Professor, University of Utah"", ""email_domain"": ""@utah.edu"", ""interests"": [""Land use"", ""affordable housing"", ""scenario analysis"", ""collaborative planning""], ""homepage"": null, ""citedby"": 1814, ""citedby5y"": 1096, ""hindex"": 19, ""hindex5y"": 17, ""i10index"": 29, ""i10index5y"": 21, ""cites_per_year"": {""2010"": 6, ""2011"": 15, ""2012"": 18, ""2013"": 39, ""2014"": 40, ""2015"": 56, ""2016"": 79, ""2017"": 81, ""2018"": 104, ""2019"": 118, ""2020"": 142, ""2021"": 151, ""2022"": 186, ""2023"": 179, ""2024"": 218, ""2025"": 212, ""2026"": 147}}"
