person_id,source,collected_at,total_citations,h_index,i10_index,citations_5yr,h_index_5yr,works_count,raw_json
14,google_scholar,2026-03-01,433,10,,,,,"{""workbook_row"": {""Name"": ""Hue-Tam Jamme"", ""Year"": 2020, ""Cites2017"": 433, ""%Cites2017"": 0.318, ""%Rank"": 0.6, ""H-Index"": 10, ""%RankH"": 0.335, ""GoogleScholar"": ""https://scholar.google.com/citations?hl=en&authuser=1&user=Nipmwg8AAAAJ"", ""CurrentSchool"": ""Arizona State University"", ""Position"": ""Assistant Professor"", ""PhDYear"": 2020, ""PhDSchool"": ""USC"", ""Years"": 5, ""First"": ""Hue-Tam"", ""Last"": ""Jamme""}}"
15,google_scholar,2026-03-01,2480,24,,,,,"{""workbook_row"": {""Name"": ""David King"", ""Year"": 2008, ""Cites2017"": 2480, ""%Cites2017"": 0.734, ""%Rank"": 0.843, ""H-Index"": 24, ""%RankH"": 0.774, ""GoogleScholar"": ""https://scholar.google.com/citations?user=uFu5Z2YAAAAJ&hl=en"", ""CurrentSchool"": ""Arizona State University"", ""Position"": ""Associate Professor"", ""PhDYear"": 2008, ""PhDSchool"": ""UCLA"", ""Years"": 17, ""First"": ""David"", ""Last"": ""King""}}"
16,google_scholar,2026-03-01,8551,49,,,,,"{""workbook_row"": {""Name"": ""Kelli Larson"", ""Year"": 2005, ""Cites2017"": 8551, ""%Cites2017"": 0.939, ""%Rank"": 0.858, ""H-Index"": 49, ""%RankH"": 0.964, ""GoogleScholar"": ""https://scholar.google.com/citations?hl=en&authuser=1&user=zKNhDfAAAAAJ"", ""CurrentSchool"": ""Arizona State University"", ""Position"": ""Professor"", ""PhDYear"": 2005, ""PhDSchool"": ""Oregon State University"", ""Years"": 20, ""First"": ""Kelli"", ""Last"": ""Larson"", ""Interests"": ""Water Resource Governance and Human-Environmental Interactions"", ""ResearchGate"": ""https://researchgate.net/profile/Kelli_Larson"", ""LinkedIn"": ""https://linkedin.com/in/kelli-larson-3427416""}}"
17,google_scholar,2026-03-01,11243,32,,,,,"{""workbook_row"": {""Name"": ""Sara Meerow"", ""Year"": 2017, ""Cites2017"": 11243, ""%Cites2017"": 0.96, ""%Rank"": 0.994, ""H-Index"": 32, ""%RankH"": 0.874, ""GoogleScholar"": ""https://scholar.google.com/citations?user=qOlVh-UAAAAJ&hl=en&oe=ASCII"", ""CurrentSchool"": ""Arizona State University"", ""Position"": ""Associate Professor"", ""PhDYear"": 2017, ""PhDSchool"": ""University of Michigan"", ""Years"": 8, ""First"": ""Sara"", ""Last"": ""Meerow""}}"
18,google_scholar,2026-03-01,351,6,,,,,"{""workbook_row"": {""Name"": ""Lindsay Oluyede"", ""Year"": 2022, ""Cites2017"": 351, ""%Cites2017"": 0.281, ""%Rank"": 0.542, ""H-Index"": 6, ""%RankH"": 0.173, ""GoogleScholar"": ""https://scholar.google.com/citations?hl=en&user=45EO_0AAAAAJ"", ""CurrentSchool"": ""Arizona State University"", ""Position"": ""Assistant Professor"", ""PhDYear"": 2022, ""PhDSchool"": ""UNC"", ""Years"": 3, ""First"": ""Lindsay"", ""Last"": ""Oluyede""}}"
19,google_scholar,2026-03-01,1717,24,,,,,"{""workbook_row"": {""Name"": ""Deirdre Pfeiffer"", ""Year"": 2011, ""Cites2017"": 1717, ""%Cites2017"": 0.632, ""%Rank"": 0.711, ""H-Index"": 24, ""%RankH"": 0.774, ""GoogleScholar"": ""https://scholar.google.com.ph/citations?user=4wtcHfkAAAAJ&hl=en"", ""CurrentSchool"": ""Arizona State University"", ""Position"": ""Associate Professor"", ""PhDYear"": 2011, ""PhDSchool"": ""UCLA"", ""Years"": 14, ""First"": ""Deirdre"", ""Last"": ""Pfeiffer"", ""Interests"": ""Public Participation, Quaolitative Analysis, Urban Housing Analysis"", ""ResearchGate"": ""https://researchgate.net/profile/Deirdre_Pfeiffer"", ""LinkedIn"": ""https://linkedin.com/in/deirdre-pfeiffer-a29a393""}}"
20,google_scholar,2026-03-01,506,10,,,,,"{""workbook_row"": {""Name"": ""Jose-Benito Rosales Chavez"", ""Year"": 2020, ""Cites2017"": 506, ""%Cites2017"": 0.352, ""%Rank"": 0.646, ""H-Index"": 10, ""%RankH"": 0.335, ""GoogleScholar"": ""https://scholar.google.com/citations?hl=en&authuser=1&user=xYAqTLIAAAAJ"", ""CurrentSchool"": ""Arizona State University"", ""Position"": ""Assistant Professor"", ""PhDYear"": 2020, ""PhDSchool"": ""Arizona State University"", ""Years"": 5, ""First"": ""Jose-Benito"", ""Last"": ""Rosales Chavez""}}"
21,google_scholar,2026-03-01,5562,31,,,,,"{""workbook_row"": {""Name"": ""Mark Roseland"", ""Year"": 1992, ""Cites2017"": 5562, ""%Cites2017"": 0.895, ""%Rank"": 0.764, ""H-Index"": 31, ""%RankH"": 0.862, ""GoogleScholar"": ""https://scholar.google.com/citations?user=HSr3W8AAAAAJ&hl=en"", ""CurrentSchool"": ""Arizona State University"", ""Position"": ""Professor"", ""PhDYear"": 1992, ""PhDSchool"": ""University of British Columbia"", ""Years"": 33, ""First"": ""Mark"", ""Last"": ""Roseland""}}"
22,google_scholar,2026-03-01,19188,66,,,,,"{""workbook_row"": {""Name"": ""David Sailor"", ""Year"": 1993, ""Cites2017"": 19188, ""%Cites2017"": 0.984, ""%Rank"": 0.962, ""H-Index"": 66, ""%RankH"": 0.989, ""GoogleScholar"": ""https://scholar.google.com/citations?user=qAeVtqwAAAAJ&hl=en&oi=ao&inst=13410158990364976897"", ""CurrentSchool"": ""Arizona State University"", ""Position"": ""Professor"", ""PhDYear"": 1993, ""PhDSchool"": ""UC Berkeley"", ""Years"": 32, ""First"": ""David"", ""Last"": ""Sailor""}}"
23,google_scholar,2026-03-01,3749,29,,,,,"{""workbook_row"": {""Name"": ""Deborah Salon"", ""Year"": 2006, ""Cites2017"": 3749, ""%Cites2017"": 0.825, ""%Rank"": 0.923, ""H-Index"": 29, ""%RankH"": 0.84, ""GoogleScholar"": ""https://scholar.google.co.uk/citations?user=cvqNuosAAAAJ&hl=en"", ""CurrentSchool"": ""Arizona State University"", ""Position"": ""Associate Professor"", ""PhDYear"": 2006, ""PhDSchool"": ""UC Davis"", ""Years"": 19, ""First"": ""Deborah"", ""Last"": ""Salon""}}"
24,google_scholar,2026-03-01,3437,33,,,,,"{""workbook_row"": {""Name"": ""Daoqin Tong"", ""Year"": 2007, ""Cites2017"": 3437, ""%Cites2017"": 0.807, ""%Rank"": 0.613, ""H-Index"": 33, ""%RankH"": 0.886, ""GoogleScholar"": ""https://scholar.google.ca/citations?hl=en&user=xolGcEIAAAAJ"", ""CurrentSchool"": ""Arizona State University"", ""Position"": ""Professor"", ""PhDYear"": 2007, ""PhDSchool"": ""Ohio State University"", ""Years"": 18, ""First"": ""Daoqin"", ""Last"": ""Tong""}}"
